GWAS_1,dataset,gene_2,nsnps,PP.H0.abf,PP.H1.abf,PP.H2.abf,PP.H3.abf,PP.H4.abf,sum_PPH3_PPH4,ratio_PPH4_PPH3,p12,gene_name,significant
foo2020,CD16p_Mono,ENSG00000145335,3773,2.288728961296318e-12,0.018787422171874055,9.774937382256282e-12,0.07933736604817863,0.9018752117678824,0.9812125778160611,11.367597094415853,1e-5,SNCA,Colocalised
foo2020,CD16p_Mono,ENSG00000188906,4747,1.5498840163478518e-41,3.6192172900333035e-32,4.28237348425117e-10,0.9999999995550155,1.6747761624518946e-11,0.9999999995717632,1.674776163197144e-11,1e-5,LRRK2,Distinct
foo2020,CL_Mono,ENSG00000145335,3773,3.612436580920564e-11,0.29653302012849875,1.89353407276256e-11,0.1548853934425833,0.548581586373859,0.7034669798164424,3.54185487850551,1e-5,SNCA,Suggestive
foo2020,CL_Mono,ENSG00000188906,4747,3.5055509957398493e-34,8.186000140043718e-25,4.282373484251444e-10,0.9999999995550723,1.66841130012075e-11,0.9999999995717564,1.6684113008630722e-11,1e-5,LRRK2,Distinct
foo2020,CM_CD8,ENSG00000188906,4747,1.995735966565228e-10,0.46603500909406353,2.0775282341308874e-10,0.4850858810525832,0.04887910944602768,0.5339649904986109,0.10076382627332992,1e-5,LRRK2,Not_signif
foo2020,DN_B,ENSG00000145335,3773,8.097721258386869e-11,0.6647152654777658,3.727842012688356e-11,0.30597696412465547,0.02930777027932454,0.33528473440398,0.09578423775518118,1e-5,SNCA,Not_signif
foo2020,DN_B,ENSG00000188906,4747,9.115977872871928e-17,2.1287208839538135e-7,4.282372387033726e-10,0.9999997432944855,4.340518767453366e-8,0.9999997866996732,4.3405198816887555e-8,1e-5,LRRK2,Distinct
foo2020,EM_CD8,ENSG00000188906,4747,1.3668246527742478e-10,0.3191745552303337,2.78190431597018e-10,0.649586157458855,0.03123928689593691,0.6808254443547919,0.048091060034504536,1e-5,LRRK2,Not_signif
foo2020,Fr_I_nTreg,ENSG00000145335,3773,5.210058420801773e-11,0.4276765346486893,6.641202772271095e-11,0.54512726429493,0.027196200937867,0.572323465232797,0.04988963627244491,1e-5,SNCA,Not_signif
foo2020,Fr_I_nTreg,ENSG00000188906,4747,2.906258868492606e-10,0.6786560952442439,1.1047027349152432e-10,0.25790161809119405,0.06344228626346428,0.3213439043546583,0.2459941381253028,1e-5,LRRK2,Not_signif
foo2020,Fr_II_eTreg,ENSG00000145335,3773,8.474916605210198e-11,0.6956779890762063,3.247529908601551e-11,0.26654125258492983,0.03778075822163907,0.3043220108065689,0.14174450617020617,1e-5,SNCA,Not_signif
foo2020,Fr_II_eTreg,ENSG00000188906,4747,2.804375658477309e-10,0.6548648004530151,1.239786567514461e-10,0.2894535289398038,0.05568167020276669,0.3451351991425705,0.19236825478243358,1e-5,LRRK2,Not_signif
foo2020,Fr_III_T,ENSG00000145335,3773,7.778638655086458e-11,0.6385228255808632,3.89583767093422e-11,0.3197547597144083,0.041722414587984265,0.36147717430239257,0.13048254426376324,1e-5,SNCA,Not_signif
foo2020,Int_Mono,ENSG00000145335,3773,6.11915860392825e-11,0.5023015742481856,3.018120230436653e-11,0.24749734742384313,0.25020107823659776,0.49769842566044087,1.010924281980786,1e-5,SNCA,Not_signif
foo2020,Int_Mono,ENSG00000188906,4747,2.7856384377366727e-24,6.5048937154631016e-15,4.2823734842468193e-10,0.9999999995539923,1.7763770770332254e-11,0.9999999995717561,1.7763770778255032e-11,1e-5,LRRK2,Distinct
foo2020,LDG,ENSG00000145335,3773,8.808954167397821e-11,0.7230980322888722,2.7185352421039123e-11,0.2231018034316231,0.05380016416423071,0.27690196759585384,0.2411462540271197,1e-5,SNCA,Not_signif
foo2020,LDG,ENSG00000188906,4747,1.2447980484879634e-19,2.9067946840973073e-10,4.2823734825477753e-10,0.9999999991571258,1.239542883152041e-10,0.9999999992810801,1.2395428841968196e-10,1e-5,LRRK2,Distinct
foo2020,mDC,ENSG00000145335,3773,1.7467666854344016e-14,1.4338632363193328e-4,1.9444053027055407e-11,0.1587687388583287,0.8410878747985786,0.9998566136569074,5.297566012343851,1e-5,SNCA,Colocalised
foo2020,mDC,ENSG00000188906,4747,6.004179247621913e-19,1.4020680977572651e-9,4.2823734772047846e-10,0.9999999979093204,2.6037776083351783e-10,0.9999999981696981,2.603777613778843e-10,1e-5,LRRK2,Distinct
foo2020,Mem_CD4,ENSG00000145335,3773,6.974852153303303e-11,0.5725426391960987,4.876530099861229e-11,0.4002711071190664,0.027186253566319596,0.427457360685386,0.06791960019795447,1e-5,SNCA,Not_signif
foo2020,Mem_CD8,ENSG00000188906,4747,1.9200822053278398e-10,0.448368693560879,2.1775410774211095e-10,0.5084461103924881,0.043185195636869865,0.551631306029358,0.08493563969549031,1e-5,LRRK2,Not_signif
foo2020,Naive_B,ENSG00000145335,3773,1.0225109724747115e-17,8.393455773974787e-8,1.2178916834516312e-10,0.9997268944829246,2.7302146072623687e-4,0.9999999159436509,2.7309604476275304e-4,1e-5,SNCA,Distinct
foo2020,Naive_B,ENSG00000188906,4747,9.749498890901343e-12,0.0227665777457705,4.159934500762062e-10,0.9714027852184828,0.005830636610002569,0.9772334218284854,0.0060022852504907865,1e-5,LRRK2,Distinct
foo2020,NC_Mono,ENSG00000145335,3773,3.2040195105149276e-11,0.26300740808064527,1.6861499545540196e-11,0.13781131457867105,0.5991812772917837,0.7369925918704547,4.347838050334646,1e-5,SNCA,Suggestive
foo2020,NC_Mono,ENSG00000188906,4747,3.1882022238125724e-27,7.444942002650649e-18,4.2823734842030635e-10,0.9999999995437676,2.7997687680738376e-11,0.9999999995717653,2.7997687693511828e-11,1e-5,LRRK2,Distinct
foo2020,Neu,ENSG00000188906,4747,3.7905025086102505e-47,8.851405700281547e-38,4.2823734841502097e-10,0.9999999995314113,4.035045990960895e-11,0.9999999995717618,4.035045992851672e-11,1e-5,LRRK2,Distinct
foo2020,NK,ENSG00000145335,3773,2.5467679049600245e-11,0.20905578866430266,9.382140032139746e-11,0.7701281558859087,0.020816055330501255,0.7909442112164099,0.027029339430598702,1e-5,SNCA,Distinct
foo2020,pDC,ENSG00000145335,3773,1.9486166461315136e-15,1.599555220434609e-5,1.2153078413548573e-10,0.9976037964269402,0.0023802078993228446,0.999984004326263,0.0023859250614802164,1e-5,SNCA,Distinct
foo2020,pDC,ENSG00000188906,4747,2.4277893403149916e-13,5.669261095892506e-4,4.27844330535341e-10,0.9990818912200037,3.5118224232120413e-4,0.9994330734623249,3.515049621131325e-4,1e-5,LRRK2,Distinct
foo2020,Plasmablast,ENSG00000188906,4747,2.4289916498437255e-10,0.5672068673355379,1.6526159757314987e-10,0.3858642909702887,0.046928841286013996,0.43279313225630267,0.12162006794670588,1e-5,LRRK2,Not_signif
foo2020,SM_B,ENSG00000188906,4747,4.591705485735732e-12,0.010722337742326664,4.229734640406168e-10,0.9877064496036219,0.0015712122264860467,0.9892776618301079,0.001590768418204207,1e-5,LRRK2,Distinct
foo2020,Tfh,ENSG00000145335,3773,4.002055402059354e-11,0.3285155458125202,7.565405016119787e-11,0.6209686627248865,0.050515791346917624,0.6714844540718041,0.08134998491751283,1e-5,SNCA,Not_signif
foo2020,Th1,ENSG00000145335,3773,2.1993395909718418e-12,0.018053654274336407,1.1553986946720556e-10,0.948395180270884,0.0335511653370392,0.9819463456079232,0.03537677756592584,1e-5,SNCA,Distinct
foo2020,Th17,ENSG00000145335,3773,1.4434388990680115e-11,0.11848714476324944,4.172954543493921e-11,0.3420045851478939,0.5395082700326919,0.8815128551805858,1.5774884123246211,1e-5,SNCA,Not_signif
foo2020,Th17,ENSG00000188906,4747,3.0605436450474013e-10,0.7146839608784625,9.785974492045432e-11,0.22846068342734233,0.05685535529027989,0.28531603871762223,0.24886275589016907,1e-5,LRRK2,Not_signif
foo2020,Th2,ENSG00000145335,3773,3.21964154928297e-11,0.26428976978656943,3.878250973428096e-11,0.3179350729013004,0.4177751572411499,0.7357102301424503,1.3140266452164708,1e-5,SNCA,Not_signif
foo2020,USM_B,ENSG00000188906,4747,1.3280359118920588e-17,3.1011678831495885e-8,4.2823733041497827e-10,0.9999999574875185,1.107256482860584e-8,0.9999999685600833,1.107256529932807e-8,1e-5,LRRK2,Distinct
